id,name,formula,category,cp_298,molar_mass,valid_t_min,valid_t_max,cp_query,data_source,estimated
1,Iron,Fe,Metals & Alloys,25.1,55.8,20.0,1180.0,26.48,NIST-JANAF,False
2,Aluminum,Al,Metals & Alloys,24.2,27.0,20.0,933.0,25.58,NIST-JANAF,False
3,Copper,Cu,Metals & Alloys,24.4,63.5,20.0,1358.0,25.66,NIST-JANAF,False
4,Nickel,Ni,Metals & Alloys,26.1,58.7,20.0,1728.0,27.79,NIST-JANAF,False
5,Titanium,Ti,Metals & Alloys,25.0,47.9,20.0,1943.0,26.47,NIST-JANAF,False
6,Magnesium,Mg,Metals & Alloys,24.9,24.3,20.0,923.0,26.87,NIST-JANAF,False
7,Zinc,Zn,Metals & Alloys,25.4,65.4,20.0,693.0,26.83,NIST-JANAF,False
8,Lead,Pb,Metals & Alloys,26.4,207.2,20.0,601.0,28.23,NIST-JANAF,False
9,Tin,Sn,Metals & Alloys,27.0,118.7,20.0,505.0,28.86,NIST-JANAF,False
10,Silver,Ag,Metals & Alloys,25.4,107.9,20.0,1235.0,26.9,NIST-JANAF,False
11,Gold,Au,Metals & Alloys,25.4,197.0,20.0,1337.0,27.21,NIST-JANAF,False
12,Platinum,Pt,Metals & Alloys,25.9,195.1,20.0,2041.0,27.85,NIST-JANAF,False
13,Tungsten,W,Metals & Alloys,24.3,183.8,20.0,3695.0,25.65,NIST-JANAF,False
14,Molybdenum,Mo,Metals & Alloys,24.1,95.9,20.0,2896.0,25.61,NIST-JANAF,False
15,Chromium,Cr,Metals & Alloys,23.4,52.0,20.0,2180.0,24.63,NIST-JANAF,False
16,Cobalt,Co,Metals & Alloys,24.8,58.9,20.0,1768.0,26.47,NIST-JANAF,False
17,Manganese,Mn,Metals & Alloys,26.3,54.9,20.0,1519.0,27.84,NIST-JANAF,False
18,Beryllium,Be,Metals & Alloys,16.4,9.0,20.0,1560.0,17.78,NIST-JANAF,False
19,Niobium,Nb,Metals & Alloys,24.6,92.9,20.0,2750.0,26.11,NIST-JANAF,False
20,Tantalum,Ta,Metals & Alloys,25.4,180.9,20.0,3290.0,26.96,NIST-JANAF,False
21,Vanadium,V,Metals & Alloys,24.9,50.9,20.0,2183.0,26.79,NIST-JANAF,False
22,Palladium,Pd,Metals & Alloys,25.9,106.4,20.0,1828.0,27.31,NIST-JANAF,False
23,Rhodium,Rh,Metals & Alloys,24.9,102.9,20.0,2237.0,26.45,NIST-JANAF,False
24,Cadmium,Cd,Metals & Alloys,26.0,112.4,20.0,594.0,27.41,NIST-JANAF,False
25,Indium,In,Metals & Alloys,26.7,114.8,20.0,430.0,28.29,NIST-JANAF,False
26,Gallium,Ga,Metals & Alloys,25.9,69.7,20.0,303.0,27.32,NIST-JANAF,False
